Casenew,MCZ_1,MCZ_2,MCZ_8,MCZ_10,MCZ_17,QHealthr,RSEX,AGEXr,Martstat3r,HighEd4r,GorA
1783,4,3,10,6,8,1,1,2,2,4,5
1786,5,8,10,8,7,4,2,4,3,2,8
1790,8,10,9,9,10,3,2,6,3,1,2
1791,9,9,8,8,8,1,2,2,1,2,4
1796,5,5,3,2,8,1,1,4,3,4,11
1798,9,8,8,8,7,1,2,2,1,2,9
1800,9,9,8,7,5,1,2,1,1,2,3
1805,7,7,8,6,9,2,1,4,2,3,7
1807,7,8,7,5,9,1,2,2,2,1,8
1811,8,10,10,7,8,1,1,2,1,2,2
1818,10,9,10,1,9,1,1,1,2,2,2
1822,7,6,8,3,7,3,2,2,2,2,2
1827,8,8,8,9,10,1,1,2,1,1,10
1836,6,7,8,10,9,2,2,2,2,2,5
1837,10,9,7,7,9,3,1,3,1,2,2
1843,7,10,9,6,9,1,2,2,3,1,7
1845,7,7,9,4,0,1,2,1,1,2,10
1849,6,6,6,6,7,2,2,6,3,1,4
1854,8,8,9,7,10,1,2,2,1,1,6
1857,6,6,5,8,10,2,2,2,3,2,8
1872,10,10,10,10,10,1,1,5,1,4,9
1878,8,8,9,9,8,1,1,6,1,2,11
1880,8,8,9,9,8,1,2,4,1,2,3
1882,5,7,5,5,8,1,1,3,1,2,8
1890,10,10,10,10,8,1,2,5,3,4,6
1902,8,9,9,8,8,1,2,3,1,1,9
1907,8,8,10,9,5,1,1,5,1,1,6
1916,7,10,10,10,5,1,2,2,3,1,7
1918,9,9,9,9,5,2,2,6,3,1,10
1920,4,9,8,8,7,2,2,5,1,2,6
1926,10,10,9,10,10,2,1,5,1,2,5
1961,7,8,7,4,8,3,2,1,2,2,8
1977,10,10,10,10,10,1,1,5,1,3,8
1982,9,8,10,7,8,3,2,5,3,4,4
1985,10,10,10,10,10,2,2,4,1,2,1
2028,9,8,8,9,8,2,1,4,2,4,8
2038,9,7,10,9,10,1,1,3,1,2,10
2045,10,10,10,8,10,2,1,4,1,2,5
2052,9,9,9,8,9,2,1,2,1,4,6
2080,10,9,10,10,6,2,1,2,1,2,2
2090,9,7,10,7,6,2,1,1,1,2,8
2090,8,8,8,8,9,1,1,2,2,1,8
2091,8,10,10,10,10,2,1,4,3,4,10
2093,9,7,4,8,8,4,1,6,1,4,10
2095,7,9,9,8,10,2,2,3,1,1,8
2097,2,7,10,3,2,2,1,4,3,2,9
2104,10,10,9,10,9,1,1,6,3,2,3
2114,8,9,10,7,10,1,1,3,1,2,3
2118,8,8,10,8,9,1,1,2,1,1,3
2120,8,8,7,9,8,2,2,4,1,2,6
2125,8,9,9,9,8,2,2,4,3,1,8
2131,4,1,0,2,10,5,2,3,1,3,11
2137,7,5,7,5,9,2,2,3,1,2,8
2144,7,8,6,8,8,2,1,2,1,2,2
2149,10,10,9,8,9,1,2,2,1,1,4
2152,6,10,9,8,7,3,2,6,1,2,5
2164,6,10,2,1,10,3,1,3,3,3,5
2166,10,7,9,8,8,3,1,5,2,4,11
2184,7,7,9,6,5,1,2,2,1,1,9
2185,8,8,10,10,8,3,2,5,1,2,2
2191,10,10,10,8,9,1,1,2,1,2,7
2198,10,10,10,10,10,4,1,6,1,4,10
2198,7,9,8,6,8,2,2,2,3,4,7
2202,10,9,8,5,10,3,2,6,3,4,4
2218,8,0,4,8,5,4,1,3,3,2,9
2221,3,7,2,4,5,2,1,2,2,1,7
2222,10,10,10,8,5,1,2,4,1,4,6
2244,10,10,10,8,6,2,2,2,1,1,3
2260,3,5,5,2,7,4,2,2,1,4,5
2261,9,7,5,9,7,2,1,6,3,4,8
2261,10,8,10,10,10,1,1,5,1,2,5
2263,8,8,9,9,9,1,2,4,3,2,9
2266,6,6,5,9,5,3,2,6,3,4,9
2267,8,9,9,10,10,1,1,2,1,2,2
2267,9,10,10,8,9,1,1,5,1,4,9
2284,9,9,9,9,9,2,2,3,1,2,3
2299,7,7,7,6,7,1,2,2,2,2,8
2300,9,10,8,10,8,1,2,6,3,3,4
2304,10,8,10,10,10,2,2,2,2,2,11
2317,5,6,3,0,9,1,1,3,2,2,7
2336,7,7,7,7,6,2,2,3,1,2,3
2336,5,5,2,5,6,2,2,2,2,2,5
2341,8,7,7,7,8,1,2,1,1,1,5
2343,10,9,8,10,8,1,2,1,1,2,8
2362,4,6,10,3,10,2,2,2,1,2,2
2366,9,10,10,10,9,2,2,5,1,2,9
2390,8,9,8,7,10,1,2,2,1,2,8
2391,6,9,6,6,10,4,1,5,3,3,3
2392,8,6,10,3,8,2,2,2,2,4,2
2395,9,10,9,8,10,2,1,5,1,2,6
2403,7,7,5,4,5,1,2,1,2,1,7
2414,7,7,8,10,7,2,2,6,1,1,2
2417,9,5,6,7,4,1,1,3,1,4,2
2427,9,10,8,7,10,2,1,5,1,1,6
2432,8,5,8,5,6,1,1,2,1,2,2
2432,7,8,7,4,7,1,2,2,1,2,4
2438,7,8,4,6,7,2,1,2,1,1,8
2474,8,10,7,7,10,2,2,2,1,4,9
2476,9,4,6,5,10,4,1,3,1,4,3
2478,9,9,10,9,9,2,1,5,1,3,9
2487,2,2,9,1,10,3,2,6,3,4,11
2489,5,9,10,3,8,1,2,2,3,2,2
2490,8,8,8,7,8,1,2,3,1,1,10
2507,4,7,9,8,9,4,1,6,3,2,11
2508,10,10,10,10,10,2,1,6,3,3,2
2513,9,10,8,10,10,2,2,5,1,2,2
2514,5,3,7,9,8,3,2,4,1,1,1
2526,7,7,8,7,7,2,1,4,1,1,7
2538,8,8,8,10,7,2,2,3,1,1,9
2544,6,7,9,6,5,1,2,5,3,2,6
2549,9,9,9,10,9,2,1,6,1,1,11
2554,9,9,10,8,10,2,1,3,1,3,2
2567,5,5,0,8,10,4,2,5,1,3,8
2575,9,10,10,9,8,1,2,2,1,2,8
2577,8,8,10,7,6,1,2,2,2,2,5
2578,9,7,9,9,10,3,2,6,3,2,8
2590,10,10,10,10,10,3,2,4,1,2,6
2607,0,5,2,6,7,3,1,3,2,2,8
2612,6,10,10,4,10,2,1,2,3,3,2
2621,8,10,9,3,7,1,2,2,1,1,8
2623,9,9,10,10,9,1,2,6,3,2,8
2625,8,7,10,2,8,2,1,2,2,3,2
2633,4,8,0,6,5,4,2,2,2,3,11
2641,10,10,10,10,8,1,2,5,1,2,7
2652,10,8,8,5,9,3,2,4,1,2,2
